id,title,url,description,category,subcategory,stage,scenario,tags,icon,rating,recommendedScore,lastVerifiedAt,isFeatured
py-beginner-official,Python 官方教程,https://docs.python.org/zh-cn/3/tutorial/,Python 入门首选，语法讲解系统且权威。,programming,python,beginner,automation,Python|入门|官方文档,https://www.python.org/static/favicon.ico,★★★★★,5,2026-03-22,true
js-mdn-guide,MDN JavaScript Guide,https://developer.mozilla.org/zh-CN/docs/Web/JavaScript/Guide,JavaScript 体系化教程，适合从入门到进阶。,programming,javascript,intermediate,web-development,JavaScript|Web|前端,https://developer.mozilla.org/favicon-48x48.cbbd161b.png,★★★★☆,4,2026-03-20,false
r-for-data-science,R for Data Science,https://r4ds.hadley.nz/,R 数据分析经典教材，强调实践流程。,programming,r,intermediate,data-analysis,R|数据分析|教材,https://www.r-project.org/favicon-32x32.png,★★★★★,5,2026-03-19,true
python-automation-realpython,Real Python Automation,https://realpython.com/tutorials/automation/,Python 自动化专题合集，面向实战项目。,programming,python,advanced,automation,Python|自动化|实战,https://files.realpython.com/media/RP_Logo.5ac5c6b5f337.png,★★★★☆,4,2026-03-18,false
statquest-youtube,StatQuest 统计学习,https://www.youtube.com/c/joshstarmer,将统计与机器学习概念讲得极其清晰。,statistics,theoretical-statistics,beginner,data-analysis,统计学|贝叶斯|机器学习,https://www.youtube.com/s/desktop/8f4f0f5f/img/favicon_32x32.png,★★★★★,5,2026-03-22,true
openintro-statistics,OpenIntro Statistics,https://www.openintro.org/book/os/,免费统计教材，覆盖概率与推断基础。,statistics,theoretical-statistics,beginner,data-analysis,概率|数理统计|教材,https://www.openintro.org/assets/favicon-32x32.png,★★★★☆,4,2026-03-17,false
python-statsmodels-docs,statsmodels 官方文档,https://www.statsmodels.org/stable/index.html,Python 应用统计建模核心库，文档完善。,statistics,applied-statistics,intermediate,data-analysis,Python|应用统计|回归,https://www.statsmodels.org/stable/_static/statsmodels-logo-v2-bw.svg,★★★★☆,4,2026-03-21,true
r-bayes-book,Bayesian Data Analysis 代码资源,https://avehtari.github.io/BDA_R_demos/,贝叶斯分析经典配套代码，R 实现导向。,statistics,applied-statistics,advanced,data-analysis,贝叶斯|R|建模,https://avehtari.github.io/favicon.ico,★★★★★,5,2026-03-16,false
cursor-docs,Cursor 官方文档,https://docs.cursor.com/,AI 编程助手使用指南与团队实践。,ai,ai-coding-assistant,beginner,automation,Cursor|AI 编程|效率工具,https://docs.cursor.com/favicon.ico,★★★★★,5,2026-03-23,true
openai-guides,OpenAI Developers,https://platform.openai.com/docs,大模型应用开发文档，包含提示词与 API 模式。,ai,llm-applications,intermediate,web-development,ChatGPT|LLM|API,https://openai.com/favicon.ico,★★★★☆,4,2026-03-23,false
anthropic-docs,Anthropic Claude Docs,https://docs.anthropic.com/,Claude 开发文档，适合构建工作流和 Agent。,ai,llm-applications,intermediate,automation,Claude|Agent|提示工程,https://docs.anthropic.com/favicon.ico,★★★★☆,4,2026-03-22,true
runway-academy,Runway Academy,https://academy.runwayml.com/,AI 视频创作课程，覆盖文生视频与后期。,ai,ai-creative,beginner,creative-production,AI 视频|创作|工具教程,https://runwayml.com/favicon.ico,★★★★☆,4,2026-03-15,false
cpa-official,中国注册会计师协会,https://www.cicpa.org.cn/,CPA 考试政策、报名、公告权威入口。,accounting,cpa,beginner,exam-prep,CPA|考试公告|政策,https://www.cicpa.org.cn/favicon.ico,★★★★★,5,2026-03-23,true
gaodun-tax-law,高顿税法学习中心,https://www.gaodun.com/cpa/shuifa/,税法科目课程与知识点梳理合集。,accounting,tax-law,intermediate,exam-prep,税法|CPA|课程,https://www.gaodun.com/favicon.ico,★★★★☆,4,2026-03-18,false
sec-edgar,SEC EDGAR 公司公告,https://www.sec.gov/edgar/search/,美国上市公司披露与财务公告检索。,accounting,finance-news,advanced,industry-tracking,SEC|财经资讯|公告,https://www.sec.gov/themes/custom/uswds_sec/favicon.ico,★★★★☆,4,2026-03-20,true
chinatax-updates,国家税务总局政策发布,https://www.chinatax.gov.cn/chinatax/n810341/index.html,税法更新与征管通知官方来源。,accounting,tax-law,intermediate,industry-tracking,税法更新|政策|财税资讯,https://www.chinatax.gov.cn/favicon.ico,★★★★★,5,2026-03-21,true
